Country,Life_exp
Afghanistan,64.486
Albania,78.458
Algeria,76.693
Angola,60.782
Antigua and Barbuda,76.885
Argentina,76.52
Armenia,74.945
Aruba,76.152
Australia,83.281
Austria,81.434
Azerbaijan,72.864
Bahamas,73.752
Bahrain,77.163
Bangladesh,72.32
Barbados,79.081
Belarus,74.59
Belgium,81.468
Belize,74.496
Benin,61.47
Bhutan,71.46
Bolivia (Plurinational State of),71.239
Bosnia and Herzegovina,77.262
Botswana,69.275
Brazil,75.672
Brunei Darussalam,75.722
Bulgaria,74.928
Burkina Faso,61.174
Burundi,61.247
Cabo Verde,72.782
Cambodia,69.57
Cameroon,58.921
Canada,82.315
Central African Republic,52.805
Chad,53.977
Channel Islands,82.928
Chile,80.042
China,76.704
"China, Hong Kong SAR",84.687
Colombia,77.109
Comoros,64.118
Congo,64.29
Costa Rica,80.095
Croatia,78.342
Cuba,78.726
Curaçao,78.733
Cyprus,80.828
Czechia,79.222
Côte d'Ivoire,57.422
Democratic People's Republic of Korea,72.095
Democratic Republic of the Congo,60.368
Denmark,80.784
Djibouti,66.582
Dominican Republic,73.892
East Asia and Pacific,76.0991966243726
Eastern Europe and Central Asia,73.7125726343645
Eastern and Southern Africa,64.1778394988307
Ecuador,76.8
Egypt,71.825
El Salvador,73.096
Equatorial Guinea,58.402
Eritrea,65.941
Estonia,78.567
Eswatini,59.401
Ethiopia,66.24
Europe and Central Asia,77.9574822163607
Fiji,67.341
Finland,81.736
France,82.541
French Guiana,79.832
French Polynesia,77.462
Gabon,66.187
Gambia,61.735
Georgia,73.6
Germany,81.18
Ghana,63.78
Greece,82.072
Grenada,72.384
Guadeloupe,81.931
Guam,79.859
Guatemala,74.063
Guinea,61.185
Guinea-Bissau,58.003
Guyana,69.774
Haiti,63.66
Honduras,75.088
Hungary,76.701
Iceland,82.855
India,69.416
Indonesia,71.509
Iran (Islamic Republic of),76.479
Iraq,70.454
Ireland,82.103
Israel,82.819
Italy,83.352
Jamaica,74.368
Japan,84.47
Jordan,74.405
Kazakhstan,73.236
Kenya,66.342
Kiribati,68.116
Kuwait,75.398
Kyrgyzstan,71.321
Lao People's Democratic Republic,67.61
Latin America and Caribbean,75.4492162567807
Latvia,75.172
Lebanon,78.875
Lesotho,53.705
Liberia,63.73
Libya,72.724
Lithuania,75.737
Luxembourg,82.102
Macao,84.118
Madagascar,66.681
Malawi,63.798
Malaysia,75.997
Maldives,78.627
Mali,58.893
Malta,82.376
Martinique,82.359
Mauritania,64.704
Mauritius,74.863
Mayotte,79.417
Mexico,74.992
Micronesia (Federated States of),67.755
Middle East and North Africa,74.0811312599716
Mongolia,69.689
Montenegro,76.77
Morocco,76.453
Mozambique,60.163
Myanmar,66.867
Namibia,63.373
Nepal,70.478
Netherlands,82.143
New Caledonia,77.374
New Zealand,82.145
Nicaragua,74.275
Niger,62.024
Nigeria,54.332
North America,79.2036539236706
North Macedonia,75.688
Norway,82.271
Oman,77.633
"Other, non specified",80.283
Pakistan,67.114
Panama,78.329
Papua New Guinea,64.263
Paraguay,74.131
Least developed countries,65.0398012378038
Peru,76.516
Philippines,71.095
Poland,78.544
Portugal,81.857
Puerto Rico,79.952
Qatar,80.1
Republic of Korea,82.846
Republic of Moldova,71.808
Romania,75.924
Russian Federation,72.386
Rwanda,68.7
Réunion,80.247
Saint Lucia,76.057
Saint Vincent and the Grenadines,72.415
Samoa,73.187
Sao Tome and Principe,70.17
Saudi Arabia,74.998
Senegal,67.665
Serbia,75.849
Seychelles,73.333
Sierra Leone,54.309
Singapore,83.458
Slovakia,77.388
Slovenia,81.172
Solomon Islands,72.835
Somalia,57.068
South Africa,63.857
South Asia,69.4104700365931
South Sudan,57.604
Spain,83.433
Sri Lanka,76.812
State of Palestine,73.895
Sudan,65.095
Suriname,71.57
Sweden,82.654
Switzerland,83.63
Syrian Arab Republic,71.779
Tajikistan,70.879
Thailand,76.931
Timor-Leste,69.26
Togo,60.76
Tonga,70.801
Trinidad and Tobago,73.38
Tunisia,76.505
Turkey,77.437
Turkmenistan,68.073
Uganda,62.973
Ukraine,71.953
United Arab Emirates,77.814
United Kingdom,81.236
United Republic of Tanzania,65.015
United States,78.851
Uruguay,77.77
Uzbekistan,71.573
Vanuatu,70.323
Venezuela (Bolivarian Republic of),72.128
Viet Nam,75.317
Virgin Islands U.S.,80.421
West and Central Africa,58.1890399088115
Western Europe,81.5843382986488
World,72.386
Yemen,66.096
Zambia,63.51
Zimbabwe,61.195
Sub-Saharan Africa,61.2981959043771
