Country,male  before primary,female  before primary,male primary,female primary,male Lower secondary,female Lower secondary,male Upper secondary,female Upper secondary,male Primary Comp,female Primary Comp,male Low Sec Comp,female Low Sec Comp,male Up Sec Comp,female Up Sec Comp
Afghanistan,−,−,−,−,−,−,46,69,67,40,49,26,32,14
Albania,10,11,2,4,1,4,17,18,91,93,97,96,43,60
Algeria,−,−,0,2,−,−,−,−,93,94,57,72,30,47
Andorra,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Angola,30,38,−,−,−,−,−,−,53,49,41,31,21,15
Anguilla,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Antigua and Barbuda,14,12,18,17,16,24,21,22,−,−,−,−,−,−
Argentina,1,3,0,1,1,1,13,5,95,97,72,81,53,66
Armenia,−,−,8,8,8,6,−,−,100,99,94,99,91,96
Australia,12,13,4,3,1,2,2,0,−,−,−,−,−,−
Austria,2,0,−,−,0,1,7,7,−,−,−,−,−,−
Azerbaijan,39,39,7,5,0,0,−,−,−,−,−,−,−,−
Bahamas,65,60,15,8,11,5,15,10,−,−,−,−,−,−
Bahrain,23,24,1,1,3,0,7,5,−,−,−,−,−,−
Bangladesh,−,−,8,2,−,−,37,38,69,79,53,55,31,26
Barbados,8,12,10,9,4,0,−,−,99,99,98,98,91,97
Belarus,1,4,4,4,2,1,2,0,100,100,100,100,96,98
Belgium,0,0,1,1,3,3,1,1,−,−,−,−,−,−
Belize,16,16,0,1,11,11,38,34,78,86,40,48,20,25
Benin,12,12,−,−,26,43,46,66,51,44,25,13,12,5
Bhutan,−,−,19,17,20,10,34,27,67,71,41,38,25,18
Bolivia (Plurinational State of),8,9,7,8,13,13,17,18,−,−,−,−,−,−
Bosnia and Herzegovina,−,−,−,−,−,−,−,−,99,100,97,97,92,92
Botswana,67,65,11,10,−,−,−,−,−,−,−,−,−,−
Brazil,4,1,4,2,3,4,19,16,94,97,73,82,53,64
British Virgin Islands,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Brunei Darussalam,5,5,3,4,−,−,20,16,−,−,−,−,−,−
Bulgaria,5,4,7,7,6,7,8,12,−,−,−,−,−,−
Burkina Faso,83,83,22,24,48,46,67,68,32,29,13,6,6,2
Burundi,58,58,4,2,31,27,60,57,46,54,26,19,4,3
Cabo Verde,21,20,13,14,20,20,37,32,−,−,−,−,−,−
Cambodia,58,56,9,10,12,14,−,−,68,79,41,39,20,20
Cameroon,54,54,1,9,31,39,48,57,67,64,46,41,18,14
Canada,−,−,−,−,0,0,8,8,−,−,−,−,−,−
Central African Republic,−,−,23,40,44,66,79,90,54,33,16,8,8,6
Chad,89,90,17,34,51,70,71,88,31,24,18,10,15,6
Chile,3,3,5,5,8,8,7,6,−,−,−,−,−,−
China,−,−,−,−,−,−,−,−,97,97,93,93,64,67
Colombia,13,12,7,6,6,5,17,15,91,95,74,81,69,78
Comoros,60,62,15,16,30,29,57,55,75,77,47,45,24,32
Congo,79,77,16,9,−,−,−,−,78,82,56,45,28,19
Cook Islands,2,0,2,5,8,7,37,30,−,−,−,−,−,−
Costa Rica,10,11,3,3,5,6,14,9,94,95,55,71,38,56
Côte d'Ivoire,78,78,7,15,36,49,57,69,60,53,36,22,17,15
Croatia,2,7,4,1,3,0,16,12,−,−,−,−,−,−
Cuba,0,0,3,3,0,0,23,15,99,100,98,98,81,86
Cyprus,5,6,2,2,2,2,6,5,−,−,−,−,−,−
Czechia,8,8,−,−,−,−,2,2,−,−,−,−,−,−
Democratic People's Republic of Korea,−,−,−,−,8,8,11,11,100,100,100,100,100,100
Democratic Republic of the Congo,−,−,−,−,−,−,−,−,71,66,59,49,30,21
Denmark,3,2,1,1,1,1,14,11,−,−,−,−,−,−
Djibouti,91,91,39,46,48,56,66,72,−,−,−,−,−,−
Dominica,29,30,3,1,−,−,10,10,−,−,−,−,−,−
Dominican Republic,13,12,6,6,7,9,26,23,88,94,76,89,48,66
Ecuador,4,4,3,1,−,−,16,16,−,−,−,−,−,−
Egypt,62,62,2,1,8,7,22,25,91,92,79,81,71,69
El Salvador,19,18,19,18,16,17,34,35,84,89,73,74,34,36
Equatorial Guinea,57,55,56,55,−,−,−,−,−,−,−,−,−,−
Eritrea,82,83,61,64,53,60,66,71,−,−,−,−,−,−
Estonia,10,7,7,6,−,−,5,3,−,−,−,−,−,−
Eswatini,−,−,24,25,13,13,25,30,52,68,38,45,31,33
Ethiopia,61,63,11,17,45,49,73,75,51,51,42,36,13,13
Fiji,−,−,2,2,−,−,30,23,−,−,−,−,−,−
Finland,2,1,1,1,1,1,5,4,−,−,−,−,−,−
France,1,0,1,1,2,2,6,5,−,−,−,−,−,−
Gabon,−,−,−,−,−,−,−,−,57,67,23,26,11,11
Gambia,−,−,25,17,−,−,−,−,56,57,50,46,31,29
Georgia,−,−,2,2,1,2,8,5,−,−,−,−,−,−
Germany,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Ghana,13,8,17,15,16,13,31,31,64,68,50,50,42,35
Greece,12,11,7,7,6,8,10,11,−,−,−,−,−,−
Grenada,14,17,4,3,2,26,17,11,−,−,−,−,−,−
Guatemala,19,19,12,12,30,36,56,61,83,77,54,46,27,25
Guinea,57,61,14,29,41,59,59,75,58,49,43,25,29,15
Guinea-Bissau,−,−,−,−,−,−,−,−,33,26,20,14,11,8
Guyana,10,6,5,3,7,5,34,25,96,99,80,88,49,64
Haiti,−,−,−,−,−,−,−,−,49,58,32,38,17,16
Holy See,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Honduras,19,18,17,16,37,35,54,48,81,85,42,55,27,33
Hungary,8,9,3,3,4,4,12,12,−,−,−,−,−,−
Iceland,2,2,0,1,2,1,18,14,−,−,−,−,−,−
India,−,−,3,2,17,12,47,49,92,91,82,79,46,40
Indonesia,6,3,5,10,14,10,17,13,91,92,64,59,40,37
Iran (Islamic Republic of),51,52,−,−,2,2,27,23,−,−,−,−,−,−
Iraq,−,−,−,−,−,−,−,−,78,73,46,47,45,43
Ireland,2,2,0,0,−,−,2,0,−,−,−,−,−,−
Israel,2,0,3,2,−,−,4,0,−,−,−,−,−,−
Italy,1,3,1,2,−,−,5,5,−,−,−,−,−,−
Jamaica,7,4,−,−,22,17,24,19,99,100,97,97,80,83
