Country,Mothers benefit,Childrens benefit,GDP per capita
Afghanistan,−,−,556.3
Albania,−,−,4532.9
Algeria,11.2,−,4048.3
Andorra,−,−,39134.4
Angola,−,−,4095.8
Anguilla,−,−,−
Antigua and Barbuda,40.0,−,15824.7
Argentina,34.0,84.6,14591.9
Armenia,61.0,21.4,3914.5
Australia,−,100.0,54093.6
Austria,100.0,100.0,47380.8
Azerbaijan,14.0,−,4147.1
Bahamas,−,−,31857.9
Bahrain,−,−,23715.5
Bangladesh,20.9,29.4,1564.0
Barbados,−,−,16327.6
Belarus,−,−,5761.7
Belgium,100.0,100.0,43507.2
Belize,−,−,4956.8
Benin,−,−,827.4
Bhutan,−,−,3390.7
Bolivia (Plurinational State of),51.5,65.0,3351.1
Bosnia and Herzegovina,−,−,5394.6
Botswana,−,5.5,7893.7
Brazil,45.0,96.8,9880.9
British Virgin Islands,−,−,−
Brunei Darussalam,−,−,28572.1
Bulgaria,100.0,48.6,8228.0
Burkina Faso,0.4,−,642.0
Burundi,−,−,293.0
Cabo Verde,−,31.5,3295.3
Cambodia,1.5,−,1385.3
Cameroon,0.6,0.4,1421.6
Canada,100.0,39.7,45069.9
Central African Republic,−,1.0,471.6
Chad,−,−,664.3
Chile,44.0,93.1,15037.4
China,64.9,2.2,8759.0
Colombia,−,27.3,6375.9
Comoros,−,−,1312.4
Congo,−,−,1702.6
Cook Islands,−,−,−
Costa Rica,−,17.7,11752.5
Côte d'Ivoire,−,−,1557.2
Croatia,100.0,−,13383.7
Cuba,−,−,8541.2
Cyprus,100.0,60.3,25760.8
Czechia,100.0,−,20379.9
Democratic People's Republic of Korea,−,−,−
Democratic Republic of the Congo,−,1.3,467.1
Denmark,100.0,100.0,57218.9
Djibouti,−,−,1953.9
Dominica,−,−,6951.3
Dominican Republic,−,−,7222.6
Ecuador,−,6.7,6213.5
Egypt,100.0,−,2440.5
El Salvador,−,−,3902.2
Equatorial Guinea,−,−,9738.4
Eritrea,−,−,811.4
Estonia,100.0,100.0,20200.4
Eswatini,−,−,3941.9
Ethiopia,−,−,768.0
Fiji,−,−,6006.4
Finland,100.0,100.0,45804.7
France,100.0,100.0,38679.1
Gabon,−,−,7212.5
Gambia,−,−,672.8
Georgia,24.0,−,4045.4
Germany,100.0,100.0,44681.1
Ghana,41.7,5.6,2025.9
Greece,100.0,−,18883.5
Grenada,−,−,10163.6
Guatemala,14.0,3.1,4470.6
Guinea,−,−,821.7
Guinea-Bissau,−,−,736.7
