Country,On social protection,From_GDP
Afghanistan,−,−
Albania,0.1,1.6
Algeria,−,−
Andorra,−,−
Angola,0.1,2.3
Anguilla,−,−
Antigua and Barbuda,−,−
Argentina,0.1,2.1
Armenia,0.1,1.4
Australia,−,−
Austria,−,−
Azerbaijan,0,0.8
Bahamas,−,−
Bahrain,−,−
Bangladesh,0.1,0.7
Barbados,−,−
Belarus,0.1,3.1
Belgium,−,−
Belize,−,−
Benin,−,3.0
Bhutan,0,0.3
Bolivia (Plurinational State of),−,2.2
Bosnia and Herzegovina,0.1,3.9
Botswana,0.1,1.7
Brazil,0,1.4
British Virgin Islands,−,−
Brunei Darussalam,−,−
Bulgaria,0,1.4
Burkina Faso,0.1,2.0
Burundi,0.1,2.3
Cabo Verde,0.1,2.5
Cambodia,0.1,0.9
Cameroon,0,0.0
Canada,−,−
Central African Republic,0.4,2.8
Chad,−,0.7
Chile,0.2,3.5
China,0.1,0.8
Colombia,0.1,3.0
Comoros,−,0.7
Congo,0,0.1
Cook Islands,−,−
Costa Rica,0,0.7
Côte d'Ivoire,−,−
Croatia,0.1,3.4
Cuba,−,−
Cyprus,−,−
Czechia,−,−
Democratic People's Republic of Korea,−,−
Democratic Republic of the Congo,0.1,0.7
Denmark,−,−
Djibouti,−,0.2
Dominica,−,−
Dominican Republic,0.1,1.2
Ecuador,−,1.5
Egypt,0,0.2
El Salvador,0,0.8
Equatorial Guinea,−,−
Eritrea,−,−
Estonia,0.1,2.6
Eswatini,−,1.7
Ethiopia,0.1,1.0
Fiji,0,1.1
Finland,−,−
France,−,−
Gabon,0,0.2
Gambia,−,−
Georgia,0.3,7.0
Germany,−,−
Ghana,0,0.6
Greece,−,−
Grenada,0.1,2.0
Guatemala,0,0.2
Guinea,−,1.6
Guinea-Bissau,0,0.0
Guyana,−,−
Haiti,−,−
Holy See,−,−
Honduras,0,0.8
Hungary,0.1,3.1
Iceland,−,−
India,0.1,1.5
Indonesia,0.1,0.8
Iran (Islamic Republic of),−,−
Iraq,0.1,2.6
Ireland,−,−
Israel,−,−
Italy,−,−
Jamaica,−,−
Japan,−,−
Jordan,0,0.7
Kazakhstan,0.1,1.6
Kenya,0,0.4
Kiribati,0,0.7
Kuwait,0,0.8
Kyrgyzstan,0.1,3.1
Lao People's Democratic Republic,−,0.2
Latvia,0,0.8
Lebanon,0,1.0
Lesotho,0.2,7.1
Liberia,0.2,2.6
Libya,−,−
Liechtenstein,−,−
Lithuania,0,0.5
Luxembourg,−,−
Madagascar,−,0.2
Malawi,0.1,1.5
Malaysia,0,0.7
Maldives,0,1.2
Mali,0,0.6
Malta,−,−
Marshall Islands,0,1.1
Mauritania,−,2.5
Mauritius,0.2,3.5
Mexico,0.1,1.7
Micronesia (Federated States of),−,−
Monaco,−,−
Mongolia,0.1,2.0
Montenegro,−,1.8
Montserrat,−,−
Morocco,0,1.1
Mozambique,0.1,1.3
Myanmar,0,0.3
Namibia,0.1,3.2
Nauru,−,−
Nepal,0.1,1.3
Netherlands,−,−
New Zealand,−,−
Nicaragua,0.1,2.2
Niger,−,0.7
Nigeria,−,0.3
Niue,−,−
North Macedonia,−,−
Norway,−,−
Oman,−,−
Pakistan,0,0.6
Palau,−,−
Panama,−,1.5
Papua New Guinea,0,0.0
Paraguay,−,−
Peru,0.1,1.4
Philippines,0,0.7
Poland,0.1,2.0
Portugal,−,−
Qatar,−,−
Republic of Korea,−,−
Republic of Moldova,0,1.3
Romania,0,1.1
Russian Federation,0.1,1.9
Rwanda,0.1,1.5
Saint Kitts and Nevis,−,−
Saint Lucia,0,0.5
Saint Vincent and the Grenadines,−,−
Samoa,0,0.8
San Marino,−,−
Sao Tome and Principe,−,−
Saudi Arabia,0,0.7
Senegal,0.1,1.0
Serbia,0.1,2.0
Seychelles,0.1,2.6
Sierra Leone,0.1,0.9
Singapore,−,−
Slovakia,0.1,2.4
Slovenia,0.1,2.6
Solomon Islands,−,−
Somalia,1422.8,0.2
South Africa,0.1,3.3
South Sudan,−,10.1
Spain,−,−
Sri Lanka,0,0.7
State of Palestine,0.3,2.3
Sudan,0.1,1.0
Suriname,−,−
Sweden,−,−
Switzerland,−,−
Syrian Arab Republic,−,−
Tajikistan,−,0.6
Thailand,0,0.5
Timor-Leste,0.2,6.5
Togo,0,0.2
Tokelau,−,−
Tonga,−,−
Trinidad and Tobago,−,−
Tunisia,0,0.8
Turkey,0,1.1
Turkmenistan,−,−
Turks and Caicos Islands,−,−
Tuvalu,−,−
Uganda,0.1,0.8
Ukraine,0.1,4.4
United Arab Emirates,−,−
United Kingdom,−,−
United Republic of Tanzania,0,0.5
United States,−,−
Uruguay,0,1.2
Uzbekistan,−,−
Vanuatu,0,0.3
Venezuela (Bolivarian Republic of),−,−
Viet Nam,0,1.0
Yemen,−,−
Zambia,0,0.3
Zimbabwe,0,0.4
